workerid|MTurkWorkerID|LinkToPage|NumberOfHITs|gender|age|education|frequency
256|A3SWVCOJPJM7KQ|https://requester.mturk.com/workers/A3SWVCOJPJM7KQ|35|male|31|5|3
257|A3T9NC9V3VL9RD|https://requester.mturk.com/workers/A3T9NC9V3VL9RD|19|female|20|3|2
258|A3URNV625JS985|https://requester.mturk.com/workers/A3URNV625JS985|15|male|21|2|3
259|A3UWM3KJYEL5XU|https://requester.mturk.com/workers/A3UWM3KJYEL5XU|6|male|28|3|3
260|A3UX2FXA3NMJCS|https://requester.mturk.com/workers/A3UX2FXA3NMJCS|5|female|45|4|4
261|A3VO0IB2MVNMSZ|https://requester.mturk.com/workers/A3VO0IB2MVNMSZ|15|male|27|3|2
262|A3VP27UUQ34OXK|https://requester.mturk.com/workers/A3VP27UUQ34OXK|6|female|50|3|3
263|A4PA5EW33W7J4|https://requester.mturk.com/workers/A4PA5EW33W7J4|15|male|22|5|5
264|A5A9QE4W8X1UI|https://requester.mturk.com/workers/A5A9QE4W8X1UI|14|female|33|6|2
265|A5LLSZG8YCAZF|https://requester.mturk.com/workers/A5LLSZG8YCAZF|15|female|26|1|3
266|A5OTYX83KSQDM|https://requester.mturk.com/workers/A5OTYX83KSQDM|20|female|34|5|3
267|A63759KWVJ94F|https://requester.mturk.com/workers/A63759KWVJ94F|2|female|23|4|2
268|A646R8SV0S04Y|https://requester.mturk.com/workers/A646R8SV0S04Y|29|male|27|5|1
269|A669D05FR27XJ|https://requester.mturk.com/workers/A669D05FR27XJ|1|male|44|4|2
270|A6WK319U256SM|https://requester.mturk.com/workers/A6WK319U256SM|3|male|27|5|1
271|A6WRS278J1JFI|https://requester.mturk.com/workers/A6WRS278J1JFI|6|female|26|5|4
272|A7RAVFS10BUZ1|https://requester.mturk.com/workers/A7RAVFS10BUZ1|6|male|52|3|3
273|A80PZ8RASZZJI|https://requester.mturk.com/workers/A80PZ8RASZZJI|3|male|21|3|1
274|A841FR9QWUPT4|https://requester.mturk.com/workers/A841FR9QWUPT4|1|male|24|4|3
275|A8DOKML3QXPL1|https://requester.mturk.com/workers/A8DOKML3QXPL1|6|male|25|5|1
276|A8MA2IIU95EE6|https://requester.mturk.com/workers/A8MA2IIU95EE6|10|male|32|2|2
277|A9JHTV37LSE5F|https://requester.mturk.com/workers/A9JHTV37LSE5F|1|male|34|2|1
278|A9JO8MT5HOH3D|https://requester.mturk.com/workers/A9JO8MT5HOH3D|6|male|23|3|1
279|A9KPCMO1J1LQF|https://requester.mturk.com/workers/A9KPCMO1J1LQF|5|female|37|6|4
280|A9QYAH5BONH1W|https://requester.mturk.com/workers/A9QYAH5BONH1W|7|male|38|5|5
281|AAXYYH9MI3PJM|https://requester.mturk.com/workers/AAXYYH9MI3PJM|36|male|27|5|2
282|ABJAGHXEH5CRS|https://requester.mturk.com/workers/ABJAGHXEH5CRS|6|female|41|3|3
283|ABMM7PTIH9EZY|https://requester.mturk.com/workers/ABMM7PTIH9EZY|15|female|27|2|2
284|ABOEYY9Y0PFRI|https://requester.mturk.com/workers/ABOEYY9Y0PFRI|7|female|38|5|4
285|ABQES53HKWCT6|https://requester.mturk.com/workers/ABQES53HKWCT6|18|female|25|3|4
286|ABW7WZONWDBVZ|https://requester.mturk.com/workers/ABW7WZONWDBVZ|18|female|30|5|3
287|AC18RJKAR5W5D|https://requester.mturk.com/workers/AC18RJKAR5W5D|11|female|27|3|4
288|AC25X12LNYY6Y|https://requester.mturk.com/workers/AC25X12LNYY6Y|28|female|23|5|4
289|AC5LU9TF9CTK9|https://requester.mturk.com/workers/AC5LU9TF9CTK9|18|female|66|2|3
290|ACNM6EM54CKRT|https://requester.mturk.com/workers/ACNM6EM54CKRT|15|male|23|5|3
291|ACVEFRSUAPSEQ|https://requester.mturk.com/workers/ACVEFRSUAPSEQ|18|female|43|3|2
292|ACWYF9Z50PCA9|https://requester.mturk.com/workers/ACWYF9Z50PCA9|5|male|43|5|3
293|AD0EHH6TG0KF0|https://requester.mturk.com/workers/AD0EHH6TG0KF0|14|female|32|2|3
294|AD1DGG7ZDRAIT|https://requester.mturk.com/workers/AD1DGG7ZDRAIT|3|male|43|2|2
295|AD8ZUKPJT9E6|https://requester.mturk.com/workers/AD8ZUKPJT9E6|9|male|28|5|1
296|ADVIE0ZHLWDDH|https://requester.mturk.com/workers/ADVIE0ZHLWDDH|21|female|26|2|2
297|AE3A1HAMMKGC0|https://requester.mturk.com/workers/AE3A1HAMMKGC0|50|male|26|4|5
298|AEMPMR1EXR6BK|https://requester.mturk.com/workers/AEMPMR1EXR6BK|8|male|23|5|4
299|AETIZKQNUSBLB|https://requester.mturk.com/workers/AETIZKQNUSBLB|35|male|22|3|5
300|AEX9MA72M10DC|https://requester.mturk.com/workers/AEX9MA72M10DC|9|female|30|2|3
301|AGMJL8K9OMU64|https://requester.mturk.com/workers/AGMJL8K9OMU64|8|male|27|5|1
302|AHJQDF8PAHVDP|https://requester.mturk.com/workers/AHJQDF8PAHVDP|8|female|27|5|1
303|AHP3TKMY58D8Z|https://requester.mturk.com/workers/AHP3TKMY58D8Z|1|male|23|4|3
304|AHTZK06G9JI20|https://requester.mturk.com/workers/AHTZK06G9JI20|5|female|33|6|3
305|AIQB7XXL5K2FR|https://requester.mturk.com/workers/AIQB7XXL5K2FR|13|female|31|5|2
306|AIQU5HARE60W1|https://requester.mturk.com/workers/AIQU5HARE60W1|24|male|29|2|3
307|AIYGT8I9PZ9CC|https://requester.mturk.com/workers/AIYGT8I9PZ9CC|7|female|25|2|5
308|AIYYLYN9AM5FQ|https://requester.mturk.com/workers/AIYYLYN9AM5FQ|26|female|35|4|4
309|AJ5BWL80V0HW3|https://requester.mturk.com/workers/AJ5BWL80V0HW3|2|male|33|4|1
310|AJFM54LLRKT47|https://requester.mturk.com/workers/AJFM54LLRKT47|20|male|22|5|3
311|AJSTOFYJCC87B|https://requester.mturk.com/workers/AJSTOFYJCC87B|20|female|24|3|2
312|AJVKNTH2VK1WF|https://requester.mturk.com/workers/AJVKNTH2VK1WF|11|male|22|5|3
313|AJZUKH9A680W3|https://requester.mturk.com/workers/AJZUKH9A680W3|10|male|28|3|2
314|AK2L7MFN06P5T|https://requester.mturk.com/workers/AK2L7MFN06P5T|1|male|23|5|1
315|AKB1IT758U2LU|https://requester.mturk.com/workers/AKB1IT758U2LU|4|male|21|3|5
316|AKXNUZGMYOW6Q|https://requester.mturk.com/workers/AKXNUZGMYOW6Q|5|male|25|6|4
317|AL3UGBNTPA0I7|https://requester.mturk.com/workers/AL3UGBNTPA0I7|10|female|32|3|3
318|ALQPGVQZEZSUE|https://requester.mturk.com/workers/ALQPGVQZEZSUE|11|male|35|3|3
319|AM3C7QYXXX1CB|https://requester.mturk.com/workers/AM3C7QYXXX1CB|5|male|28|5|4
320|AM7FYVGVOEP66|https://requester.mturk.com/workers/AM7FYVGVOEP66|35|female|34|4|2
321|AMD1LYNQAH3R8|https://requester.mturk.com/workers/AMD1LYNQAH3R8|6|male|26|5|1
322|AN5MSKMMSUXGQ|https://requester.mturk.com/workers/AN5MSKMMSUXGQ|6|female|40|5|3
323|ANMGOZ451W9ZN|https://requester.mturk.com/workers/ANMGOZ451W9ZN|12|male|24|3|3
324|ANUXUJE8QRE0C|https://requester.mturk.com/workers/ANUXUJE8QRE0C|31|female|36|2|4
325|AO3XB5I5QNNUI|https://requester.mturk.com/workers/AO3XB5I5QNNUI|1|female|60|2|3
326|AO4ZHD0B9KUNE|https://requester.mturk.com/workers/AO4ZHD0B9KUNE|6|female|30|5|4
327|AO5E3LWBYM72K|https://requester.mturk.com/workers/AO5E3LWBYM72K|35|male|23|5|2
328|AOHR3NW1NV23F|https://requester.mturk.com/workers/AOHR3NW1NV23F|7|male|24|5|1
329|AOJJKHK2TVFPC|https://requester.mturk.com/workers/AOJJKHK2TVFPC|19|female|33|3|3
330|AOPG07J95DDJT|https://requester.mturk.com/workers/AOPG07J95DDJT|42|female|27|5|3
331|AP0A2XBW34SZJ|https://requester.mturk.com/workers/AP0A2XBW34SZJ|14|male|36|5|3
332|APGX2WZ59OWDN|https://requester.mturk.com/workers/APGX2WZ59OWDN|26|female|19|3|3
333|AQ36OBO2GRA00|https://requester.mturk.com/workers/AQ36OBO2GRA00|1|female|36|5|4
334|AQ7RNVB2GZKUZ|https://requester.mturk.com/workers/AQ7RNVB2GZKUZ|5|female|30|3|4
335|AQEVAKQLI09EN|https://requester.mturk.com/workers/AQEVAKQLI09EN|6|female|26|3|3
336|AQHMXM5LLEP2N|https://requester.mturk.com/workers/AQHMXM5LLEP2N|15|male|26|5|2
337|AQR70X1KIOP6B|https://requester.mturk.com/workers/AQR70X1KIOP6B|21|male|33|5|2
338|ARQ9DY4UL4WJ4|https://requester.mturk.com/workers/ARQ9DY4UL4WJ4|25|female|25|2|1
339|ARX0S1CIDJLOX|https://requester.mturk.com/workers/ARX0S1CIDJLOX|2|female|33|5|2
340|ARYGQ46IMW8AU|https://requester.mturk.com/workers/ARYGQ46IMW8AU|2|male|29|5|5
341|ARZEZGD9TYK3Q|https://requester.mturk.com/workers/ARZEZGD9TYK3Q|1|female|33|3|3
342|ASBCANK55933P|https://requester.mturk.com/workers/ASBCANK55933P|3|female|27|3|2
343|AST33WVZ5QC05|https://requester.mturk.com/workers/AST33WVZ5QC05|17|female|37|3|2
344|AUK4KGOJP9F0H|https://requester.mturk.com/workers/AUK4KGOJP9F0H|6|female|23|3|3
345|AULC5HR1BBHMA|https://requester.mturk.com/workers/AULC5HR1BBHMA|5|male|57|3|3
346|AV3GP5YAMSMSL|https://requester.mturk.com/workers/AV3GP5YAMSMSL|28|male|23|3|2
347|AVN2V9BLX094Q|https://requester.mturk.com/workers/AVN2V9BLX094Q|6|male|23|5|2
348|AVX3SWFMBEPMZ|https://requester.mturk.com/workers/AVX3SWFMBEPMZ|40|male|40|4|3
349|AXOR2N1EAFVYF|https://requester.mturk.com/workers/AXOR2N1EAFVYF|1|male|29|6|2
350|AZACNY1H74YWS|https://requester.mturk.com/workers/AZACNY1H74YWS|6|female|60|5|4
351|AZJEGHE4605S5|https://requester.mturk.com/workers/AZJEGHE4605S5|15|male|23|5|1
